"Study_ID","Study_ID_Plus","Country","Zone","Focus","Study_Site","Animal_Species_Corrected","Plant_Species_Corrected","Animal_Family","Plant_Family"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_557","Family_43","Family_56"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_557","Family_43","Family_56"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_663","Family_43","Family_67"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_663","Family_43","Family_67"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_828","Family_43","Family_81"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_828","Family_43","Family_81"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_129","Family_43","Family_10"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_129","Family_43","Family_10"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_560","Family_43","Family_56"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_560","Family_43","Family_56"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_579","Family_43","Family_56"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_591","Family_43","Family_56"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_594","Family_43","Family_56"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_594","Family_43","Family_56"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_594","Family_43","Family_56"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_596","Family_43","Family_56"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_596","Family_43","Family_56"
"CD68","CD68","Kenya","AE","Animal","Site_1","Frugivore_205","Plant_92","Family_43","Family_6"
