"Plant_Species_Generic","Plant_Family_Generic"
"Plant_1","Family_1"
"Plant_2","Family_1"
"Plant_3","Family_1"
"Plant_4","Family_2"
"Plant_5","Family_2"
"Plant_6","Family_2"
"Plant_7","Family_2"
"Plant_8","Family_2"
"Plant_9","Family_3"
"Plant_10","Family_3"
"Plant_11","Family_3"
"Plant_12","Family_3"
"Plant_13","Family_3"
"Plant_14","Family_3"
"Plant_15","Family_3"
"Plant_16","Family_3"
"Plant_17","Family_3"
"Plant_18","Family_3"
"Plant_19","Family_3"
"Plant_20","Family_3"
"Plant_21","Family_3"
"Plant_22","Family_3"
"Plant_23","Family_3"
"Plant_24","Family_3"
"Plant_25","Family_3"
"Plant_26","Family_3"
"Plant_27","Family_3"
"Plant_28","Family_3"
"Plant_29","Family_3"
"Plant_30","Family_3"
"Plant_31","Family_3"
"Plant_32","Family_3"
"Plant_33","Family_3"
"Plant_34","Family_3"
"Plant_35","Family_3"
"Plant_36","Family_3"
"Plant_37","Family_4"
"Plant_38","Family_5"
"Plant_39","Family_5"
"Plant_40","Family_5"
"Plant_41","Family_5"
"Plant_42","Family_5"
"Plant_43","Family_5"
"Plant_44","Family_5"
"Plant_45","Family_5"
"Plant_46","Family_5"
"Plant_47","Family_5"
"Plant_48","Family_5"
"Plant_49","Family_5"
"Plant_50","Family_5"
"Plant_51","Family_5"
"Plant_52","Family_5"
"Plant_53","Family_5"
"Plant_54","Family_5"
"Plant_55","Family_5"
"Plant_56","Family_5"
"Plant_57","Family_5"
"Plant_58","Family_5"
"Plant_59","Family_5"
"Plant_60","Family_5"
"Plant_61","Family_5"
"Plant_62","Family_5"
"Plant_63","Family_5"
"Plant_64","Family_5"
"Plant_65","Family_5"
"Plant_66","Family_5"
"Plant_67","Family_5"
"Plant_68","Family_5"
"Plant_69","Family_5"
"Plant_70","Family_5"
"Plant_71","Family_5"
"Plant_72","Family_5"
"Plant_73","Family_5"
"Plant_74","Family_5"
"Plant_75","Family_5"
"Plant_76","Family_5"
"Plant_77","Family_5"
"Plant_78","Family_5"
"Plant_79","Family_5"
"Plant_80","Family_5"
"Plant_81","Family_5"
"Plant_82","Family_5"
"Plant_83","Family_5"
"Plant_84","Family_5"
"Plant_85","Family_5"
"Plant_86","Family_5"
"Plant_87","Family_5"
"Plant_88","Family_6"
"Plant_89","Family_6"
"Plant_90","Family_6"
"Plant_91","Family_6"
"Plant_92","Family_6"
"Plant_93","Family_6"
"Plant_94","Family_6"
"Plant_95","Family_6"
"Plant_96","Family_6"
"Plant_97","Family_6"
"Plant_98","Family_6"
"Plant_99","Family_6"
"Plant_100","Family_6"
"Plant_101","Family_6"
"Plant_102","Family_6"
"Plant_103","Family_6"
"Plant_104","Family_6"
"Plant_105","Family_6"
"Plant_106","Family_6"
"Plant_107","Family_6"
"Plant_108","Family_6"
"Plant_109","Family_6"
"Plant_110","Family_6"
"Plant_111","Family_6"
"Plant_112","Family_6"
"Plant_113","Family_6"
"Plant_114","Family_6"
"Plant_115","Family_6"
"Plant_116","Family_6"
"Plant_117","Family_6"
"Plant_118","Family_7"
"Plant_119","Family_8"
"Plant_120","Family_9"
"Plant_121","Family_9"
"Plant_122","Family_9"
"Plant_123","Family_9"
"Plant_124","Family_9"
"Plant_125","Family_9"
"Plant_126","Family_9"
